gene	kog
Amillepora19412	Function Unknown
Amillepora19417	Signal transduction mechanisms
Amillepora19413	Signal transduction mechanisms
Amillepora19422	Function Unknown
Amillepora19427	Function Unknown
Amillepora19420	Posttranslational modification, protein turnover, chaperones
Amillepora19428	Amino acid transport and metabolism
Amillepora19435	Inorganic ion transport and metabolism
Amillepora19433	Inorganic ion transport and metabolism
Amillepora19438	Signal transduction mechanisms
Amillepora19436	Signal transduction mechanisms
Amillepora19440	Signal transduction mechanisms
Amillepora19448	Posttranslational modification, protein turnover, chaperones
Amillepora19444	Signal transduction mechanisms
Amillepora19449	Function Unknown
Amillepora19447	Amino acid transport and metabolism
Amillepora19445	Posttranslational modification, protein turnover, chaperones
Amillepora19451	Function Unknown
Amillepora19452	Amino acid transport and metabolism
Amillepora19453	Amino acid transport and metabolism
Amillepora19454	Amino acid transport and metabolism
Amillepora19455	Function Unknown
Amillepora19467	Energy production and conversion
Amillepora19460	Cell cycle control, cell division, chromosome partitioning
Amillepora19458	Transcription
Amillepora19465	Signal transduction mechanisms
Amillepora19457	RNA processing and modification
Amillepora19469	Cell wall/membrane/envelope biogenesis
Amillepora19475	Inorganic ion transport and metabolism
Amillepora19475	Signal transduction mechanisms
Amillepora19472	Inorganic ion transport and metabolism
Amillepora19472	Signal transduction mechanisms
Amillepora19471	Inorganic ion transport and metabolism
Amillepora19471	Signal transduction mechanisms
Amillepora19474	Signal transduction mechanisms
Amillepora19477	Inorganic ion transport and metabolism
Amillepora19477	Signal transduction mechanisms
Amillepora19470	Signal transduction mechanisms
Amillepora19468	Nuclear structure
Amillepora19480	Inorganic ion transport and metabolism
Amillepora19480	Signal transduction mechanisms
Amillepora19482	Inorganic ion transport and metabolism
Amillepora19482	Signal transduction mechanisms
Amillepora19479	Signal transduction mechanisms
Amillepora19481	Inorganic ion transport and metabolism
Amillepora19481	Signal transduction mechanisms
Amillepora19487	Function Unknown
Amillepora19484	Transcription
Amillepora19483	Function Unknown
Amillepora19489	Replication, recombination and repair
Amillepora19496	Cell cycle control, cell division, chromosome partitioning
Amillepora19496	Cytoskeleton
Amillepora19491	Replication, recombination and repair
Amillepora19492	Function Unknown
Amillepora19501	Function Unknown
Amillepora19497	Amino acid transport and metabolism
Amillepora19502	Function Unknown
Amillepora19517	Translation, ribosomal structure and biogenesis
Amillepora19512	RNA processing and modification
Amillepora19508	Intracellular trafficking, secretion, and vesicular transport
Amillepora19505	Function Unknown
Amillepora19507	Posttranslational modification, protein turnover, chaperones
Amillepora19513	Carbohydrate transport and metabolism
Amillepora19514	RNA processing and modification
Amillepora19509	Intracellular trafficking, secretion, and vesicular transport
Amillepora19510	Function Unknown
Amillepora19525	Cytoskeleton
Amillepora19521	Function Unknown
Amillepora19527	Cell cycle control, cell division, chromosome partitioning
Amillepora19526	Translation, ribosomal structure and biogenesis
Amillepora19520	Function Unknown
Amillepora19518	Coenzyme transport and metabolism
Amillepora19515	Translation, ribosomal structure and biogenesis
Amillepora19522	Transcription
Amillepora19533	Function Unknown
Amillepora19530	Function Unknown
Amillepora19528	Signal transduction mechanisms
Amillepora19537	Posttranslational modification, protein turnover, chaperones
Amillepora19529	Transcription
Amillepora19531	Energy production and conversion
Amillepora19546	Transcription
Amillepora19543	Function Unknown
Amillepora19541	Function Unknown
Amillepora19545	Signal transduction mechanisms
Amillepora19544	Cytoskeleton
Amillepora19539	Posttranslational modification, protein turnover, chaperones
Amillepora19556	RNA processing and modification
Amillepora19548	Posttranslational modification, protein turnover, chaperones
Amillepora19558	Cytoskeleton
Amillepora19560	Inorganic ion transport and metabolism
Amillepora19557	Function Unknown
Amillepora19555	Cell cycle control, cell division, chromosome partitioning
Amillepora19550	Transcription
Amillepora19553	Cell cycle control, cell division, chromosome partitioning
Amillepora19569	Function Unknown
Amillepora19564	Cytoskeleton
Amillepora19565	Inorganic ion transport and metabolism
Amillepora19572	Signal transduction mechanisms
Amillepora19562	Lipid transport and metabolism
Amillepora19563	Lipid transport and metabolism
Amillepora19570	Function Unknown
Amillepora19585	Intracellular trafficking, secretion, and vesicular transport
Amillepora19583	Inorganic ion transport and metabolism
Amillepora19584	Function Unknown
Amillepora19581	RNA processing and modification
Amillepora19574	Signal transduction mechanisms
Amillepora19582	Function Unknown
Amillepora19575	Signal transduction mechanisms
Amillepora19578	Function Unknown
Amillepora19590	Cytoskeleton
Amillepora19587	Transcription
Amillepora19588	Signal transduction mechanisms
Amillepora19589	Cytoskeleton
Amillepora19596	Signal transduction mechanisms
Amillepora19600	Signal transduction mechanisms
Amillepora19595	Signal transduction mechanisms
Amillepora19598	Signal transduction mechanisms
Amillepora19594	Function Unknown
Amillepora19601	Carbohydrate transport and metabolism
Amillepora19613	Amino acid transport and metabolism
Amillepora19616	Replication, recombination and repair
Amillepora19610	Function Unknown
Amillepora19615	Function Unknown
Amillepora19617	Energy production and conversion
Amillepora19622	Function Unknown
Amillepora19619	Translation, ribosomal structure and biogenesis
Amillepora19636	Posttranslational modification, protein turnover, chaperones
Amillepora19635	Replication, recombination and repair
Amillepora19648	Posttranslational modification, protein turnover, chaperones
Amillepora19644	RNA processing and modification
Amillepora19641	Replication, recombination and repair
Amillepora19647	Function Unknown
Amillepora19657	Transcription
Amillepora19653	Cell cycle control, cell division, chromosome partitioning
Amillepora19653	Replication, recombination and repair
Amillepora19659	Signal transduction mechanisms
Amillepora19661	Signal transduction mechanisms
Amillepora19662	Function Unknown
Amillepora19663	Carbohydrate transport and metabolism
Amillepora19666	Signal transduction mechanisms
Amillepora19665	Signal transduction mechanisms
Amillepora19669	Posttranslational modification, protein turnover, chaperones
Amillepora19667	Signal transduction mechanisms
Amillepora19674	Function Unknown
Amillepora19672	Signal transduction mechanisms
Amillepora19673	Replication, recombination and repair
Amillepora19678	Replication, recombination and repair
Amillepora19682	Signal transduction mechanisms
Amillepora19684	Amino acid transport and metabolism
Amillepora19683	Amino acid transport and metabolism
Amillepora19690	Extracellular structures
Amillepora19689	Amino acid transport and metabolism
Amillepora19687	Posttranslational modification, protein turnover, chaperones
Amillepora19687	Extracellular structures
Amillepora19693	Translation, ribosomal structure and biogenesis
Amillepora19695	Posttranslational modification, protein turnover, chaperones
Amillepora19696	Intracellular trafficking, secretion, and vesicular transport
Amillepora19691	Extracellular structures
Amillepora19694	Signal transduction mechanisms
Amillepora19692	Intracellular trafficking, secretion, and vesicular transport
Amillepora19697	Posttranslational modification, protein turnover, chaperones
Amillepora19699	Function Unknown
Amillepora19705	Replication, recombination and repair
Amillepora19701	Posttranslational modification, protein turnover, chaperones
Amillepora19702	Posttranslational modification, protein turnover, chaperones
Amillepora19704	Posttranslational modification, protein turnover, chaperones
Amillepora19698	Chromatin structure and dynamics
Amillepora19703	Posttranslational modification, protein turnover, chaperones
Amillepora19713	Signal transduction mechanisms
Amillepora19707	Replication, recombination and repair
Amillepora19722	Signal transduction mechanisms
Amillepora19724	Signal transduction mechanisms
Amillepora19726	Function Unknown
Amillepora19715	Signal transduction mechanisms
Amillepora19723	Signal transduction mechanisms
Amillepora19728	Function Unknown
Amillepora19733	Function Unknown
Amillepora19734	Intracellular trafficking, secretion, and vesicular transport
Amillepora19727	RNA processing and modification
Amillepora19743	Extracellular structures
Amillepora19747	Function Unknown
Amillepora19740	Extracellular structures
Amillepora19749	Carbohydrate transport and metabolism
Amillepora19748	Cytoskeleton
Amillepora19752	Lipid transport and metabolism
Amillepora19752	Translation, ribosomal structure and biogenesis
Amillepora19752	Signal transduction mechanisms
Amillepora19753	Lipid transport and metabolism
Amillepora19753	Translation, ribosomal structure and biogenesis
Amillepora19753	Signal transduction mechanisms
Amillepora19755	Transcription
Amillepora19754	Function Unknown
Amillepora19759	Replication, recombination and repair
Amillepora19760	Replication, recombination and repair
Amillepora19761	Replication, recombination and repair
Amillepora19758	Transcription
Amillepora19770	Function Unknown
Amillepora19766	Extracellular structures
Amillepora19767	Signal transduction mechanisms
Amillepora19771	Secondary metabolites biosynthesis, transport and catabolism
Amillepora19768	Nucleotide transport and metabolism
Amillepora19769	Function Unknown
Amillepora19773	Lipid transport and metabolism
Amillepora19781	Function Unknown
Amillepora19780	Function Unknown
Amillepora19779	Extracellular structures
Amillepora19776	Extracellular structures
Amillepora19775	Extracellular structures
Amillepora19774	Coenzyme transport and metabolism
Amillepora19778	Extracellular structures
Amillepora19777	Extracellular structures
Amillepora19786	RNA processing and modification
Amillepora19783	Lipid transport and metabolism
Amillepora19787	Function Unknown
Amillepora19784	RNA processing and modification
Amillepora19788	Chromatin structure and dynamics
Amillepora19788	Replication, recombination and repair
Amillepora19782	Transcription
Amillepora19790	Lipid transport and metabolism
Amillepora19789	Transcription
Amillepora19800	Posttranslational modification, protein turnover, chaperones
Amillepora19798	Cytoskeleton
Amillepora19797	Cytoskeleton
Amillepora19799	Cytoskeleton
Amillepora19794	Cytoskeleton
Amillepora19796	Cytoskeleton
Amillepora19795	Cytoskeleton
Amillepora19804	Amino acid transport and metabolism
Amillepora19801	Posttranslational modification, protein turnover, chaperones
Amillepora19808	Signal transduction mechanisms
Amillepora19813	RNA processing and modification
Amillepora19806	Amino acid transport and metabolism
Amillepora19812	Posttranslational modification, protein turnover, chaperones
Amillepora19807	Function Unknown
Amillepora19811	Function Unknown
Amillepora19814	Function Unknown
Amillepora19818	Cell wall/membrane/envelope biogenesis
Amillepora19830	Function Unknown
Amillepora19828	Cell wall/membrane/envelope biogenesis
Amillepora19820	Cell wall/membrane/envelope biogenesis
Amillepora19825	Cell wall/membrane/envelope biogenesis
Amillepora19821	Cell wall/membrane/envelope biogenesis
Amillepora19836	Function Unknown
Amillepora19831	Cell cycle control, cell division, chromosome partitioning
Amillepora19838	Translation, ribosomal structure and biogenesis
Amillepora19832	Posttranslational modification, protein turnover, chaperones
Amillepora19843	RNA processing and modification
Amillepora19840	Lipid transport and metabolism
Amillepora19841	Signal transduction mechanisms
Amillepora19839	Transcription
Amillepora19847	Inorganic ion transport and metabolism
Amillepora19854	Intracellular trafficking, secretion, and vesicular transport
Amillepora19848	Inorganic ion transport and metabolism
Amillepora19849	Inorganic ion transport and metabolism
Amillepora19852	RNA processing and modification
Amillepora19851	Function Unknown
Amillepora19857	Signal transduction mechanisms
Amillepora19859	Signal transduction mechanisms
Amillepora19861	Transcription
Amillepora19858	Signal transduction mechanisms
Amillepora19856	Carbohydrate transport and metabolism
Amillepora19868	Function Unknown
Amillepora19866	Translation, ribosomal structure and biogenesis
Amillepora19862	Translation, ribosomal structure and biogenesis
Amillepora19863	Intracellular trafficking, secretion, and vesicular transport
Amillepora19867	Intracellular trafficking, secretion, and vesicular transport
Amillepora19870	Transcription
Amillepora19864	RNA processing and modification
Amillepora19865	Inorganic ion transport and metabolism
Amillepora19865	Secondary metabolites biosynthesis, transport and catabolism
Amillepora19876	Inorganic ion transport and metabolism
Amillepora19872	Transcription
Amillepora19873	Transcription
Amillepora19875	Inorganic ion transport and metabolism
Amillepora19874	Signal transduction mechanisms
Amillepora19893	Posttranslational modification, protein turnover, chaperones
Amillepora19881	Signal transduction mechanisms
Amillepora19885	Function Unknown
Amillepora19886	Posttranslational modification, protein turnover, chaperones
Amillepora19891	Function Unknown
Amillepora19877	Signal transduction mechanisms
Amillepora19904	Posttranslational modification, protein turnover, chaperones
Amillepora19901	Nucleotide transport and metabolism
Amillepora19903	Posttranslational modification, protein turnover, chaperones
Amillepora19905	Secondary metabolites biosynthesis, transport and catabolism
Amillepora19894	Function Unknown
Amillepora19895	Function Unknown
Amillepora19899	Function Unknown
Amillepora19908	Posttranslational modification, protein turnover, chaperones
Amillepora19906	Secondary metabolites biosynthesis, transport and catabolism
Amillepora19912	Function Unknown
Amillepora19917	Nucleotide transport and metabolism
Amillepora19916	Nucleotide transport and metabolism
Amillepora19918	Nucleotide transport and metabolism
Amillepora19915	Signal transduction mechanisms
Amillepora19919	Chromatin structure and dynamics
Amillepora19911	Energy production and conversion
Amillepora19913	Replication, recombination and repair
Amillepora19910	Energy production and conversion
Amillepora19909	Energy production and conversion
Amillepora19927	Inorganic ion transport and metabolism
Amillepora19927	Signal transduction mechanisms
Amillepora19929	Replication, recombination and repair
Amillepora19924	Chromatin structure and dynamics
Amillepora19933	Function Unknown
Amillepora19936	Function Unknown
Amillepora19935	Function Unknown
Amillepora19934	Transcription
Amillepora19941	Signal transduction mechanisms
Amillepora19943	Extracellular structures
Amillepora19944	Intracellular trafficking, secretion, and vesicular transport
Amillepora19940	Intracellular trafficking, secretion, and vesicular transport
Amillepora19950	Intracellular trafficking, secretion, and vesicular transport
Amillepora19948	Energy production and conversion
Amillepora19945	Intracellular trafficking, secretion, and vesicular transport
Amillepora19949	Replication, recombination and repair
Amillepora19952	Function Unknown
Amillepora19959	Posttranslational modification, protein turnover, chaperones
Amillepora19957	Intracellular trafficking, secretion, and vesicular transport
Amillepora19956	Amino acid transport and metabolism
Amillepora19953	Inorganic ion transport and metabolism
Amillepora19965	Secondary metabolites biosynthesis, transport and catabolism
Amillepora19967	Posttranslational modification, protein turnover, chaperones
Amillepora19963	Coenzyme transport and metabolism
Amillepora19966	Function Unknown
Amillepora19964	Signal transduction mechanisms
Amillepora19964	Extracellular structures
Amillepora19960	Inorganic ion transport and metabolism
Amillepora19960	Signal transduction mechanisms
Amillepora19970	Function Unknown
Amillepora19968	Signal transduction mechanisms
Amillepora19971	Function Unknown
Amillepora19969	Function Unknown
Amillepora19976	Cytoskeleton
Amillepora19975	Cytoskeleton
Amillepora19972	Function Unknown
Amillepora19974	Cytoskeleton
Amillepora19973	Cytoskeleton
Amillepora19977	Intracellular trafficking, secretion, and vesicular transport
Amillepora19986	Replication, recombination and repair
Amillepora19985	Function Unknown
Amillepora19982	Function Unknown
Amillepora19984	Inorganic ion transport and metabolism
Amillepora19983	Extracellular structures
Amillepora19994	RNA processing and modification
Amillepora19995	Replication, recombination and repair
Amillepora19993	RNA processing and modification
Amillepora19991	Translation, ribosomal structure and biogenesis
Amillepora19990	Extracellular structures
Amillepora19987	Signal transduction mechanisms
Amillepora19987	Defense mechanisms
Amillepora19988	Extracellular structures
Amillepora20002	Amino acid transport and metabolism
Amillepora20000	Function Unknown
Amillepora19996	Replication, recombination and repair
Amillepora20004	Cytoskeleton
Amillepora19997	Inorganic ion transport and metabolism
Amillepora19999	Secondary metabolites biosynthesis, transport and catabolism
Amillepora20001	Signal transduction mechanisms
Amillepora20003	Posttranslational modification, protein turnover, chaperones
Amillepora20012	Function Unknown
Amillepora20010	Function Unknown
Amillepora20009	Signal transduction mechanisms
Amillepora20009	Defense mechanisms
Amillepora20005	Function Unknown
Amillepora20011	Function Unknown
Amillepora20007	Signal transduction mechanisms
Amillepora20007	Defense mechanisms
Amillepora20008	Signal transduction mechanisms
Amillepora20008	Defense mechanisms
Amillepora20024	Function Unknown
Amillepora20028	Cell wall/membrane/envelope biogenesis
Amillepora20026	Amino acid transport and metabolism
Amillepora20021	Extracellular structures
Amillepora20014	Function Unknown
Amillepora20016	Function Unknown
Amillepora20020	Extracellular structures
Amillepora20025	Intracellular trafficking, secretion, and vesicular transport
Amillepora20029	Cell wall/membrane/envelope biogenesis
Amillepora20027	Cell wall/membrane/envelope biogenesis
Amillepora20022	Amino acid transport and metabolism
Amillepora20023	Function Unknown
Amillepora20015	Function Unknown
Amillepora20031	Cell wall/membrane/envelope biogenesis
Amillepora20035	Cell wall/membrane/envelope biogenesis
Amillepora20033	Cell wall/membrane/envelope biogenesis
Amillepora20049	Intracellular trafficking, secretion, and vesicular transport
Amillepora20045	Energy production and conversion
Amillepora20043	Cell wall/membrane/envelope biogenesis
Amillepora20044	Cell wall/membrane/envelope biogenesis
Amillepora20046	Nucleotide transport and metabolism
Amillepora20041	Cell wall/membrane/envelope biogenesis
Amillepora20036	Cell wall/membrane/envelope biogenesis
Amillepora20039	Cell wall/membrane/envelope biogenesis
Amillepora20050	Chromatin structure and dynamics
Amillepora20051	Signal transduction mechanisms
Amillepora20052	Signal transduction mechanisms
Amillepora20053	Signal transduction mechanisms
Amillepora20064	Signal transduction mechanisms
Amillepora20055	Signal transduction mechanisms
Amillepora20060	Signal transduction mechanisms
Amillepora20058	Signal transduction mechanisms
Amillepora20054	Posttranslational modification, protein turnover, chaperones
Amillepora20059	Signal transduction mechanisms
Amillepora20067	Carbohydrate transport and metabolism
Amillepora20067	Cell wall/membrane/envelope biogenesis
Amillepora20074	Function Unknown
Amillepora20072	Translation, ribosomal structure and biogenesis
Amillepora20069	Secondary metabolites biosynthesis, transport and catabolism
Amillepora20071	Function Unknown
Amillepora20073	Function Unknown
Amillepora20066	Translation, ribosomal structure and biogenesis
Amillepora20068	Translation, ribosomal structure and biogenesis
Amillepora20065	Translation, ribosomal structure and biogenesis
Amillepora20081	Energy production and conversion
Amillepora20079	Chromatin structure and dynamics
Amillepora20079	Transcription
Amillepora20077	Function Unknown
Amillepora20076	Function Unknown
Amillepora20084	RNA processing and modification
Amillepora20085	Function Unknown
Amillepora20082	Function Unknown
Amillepora20086	Translation, ribosomal structure and biogenesis
Amillepora20083	Posttranslational modification, protein turnover, chaperones
Amillepora20100	Lipid transport and metabolism
Amillepora20093	Cell wall/membrane/envelope biogenesis
Amillepora20093	Extracellular structures
Amillepora20095	Signal transduction mechanisms
Amillepora20101	Transcription
Amillepora20094	Posttranslational modification, protein turnover, chaperones
Amillepora20096	RNA processing and modification
Amillepora20090	Function Unknown
Amillepora20103	Function Unknown
Amillepora20104	Carbohydrate transport and metabolism
Amillepora20105	Carbohydrate transport and metabolism
Amillepora20108	Posttranslational modification, protein turnover, chaperones
Amillepora20107	Signal transduction mechanisms
Amillepora20109	Amino acid transport and metabolism
Amillepora20113	RNA processing and modification
Amillepora20111	Cell cycle control, cell division, chromosome partitioning
Amillepora20117	Function Unknown
Amillepora20118	Function Unknown
Amillepora20112	Function Unknown
Amillepora20110	Secondary metabolites biosynthesis, transport and catabolism
Amillepora20119	Lipid transport and metabolism
Amillepora20121	Posttranslational modification, protein turnover, chaperones
Amillepora20120	Cytoskeleton
Amillepora20123	Inorganic ion transport and metabolism
Amillepora20123	Signal transduction mechanisms
Amillepora20124	Function Unknown
Amillepora20126	Signal transduction mechanisms
Amillepora20128	Inorganic ion transport and metabolism
Amillepora20128	Signal transduction mechanisms
Amillepora20127	Function Unknown
Amillepora20125	Signal transduction mechanisms
Amillepora20129	Inorganic ion transport and metabolism
Amillepora20129	Signal transduction mechanisms
Amillepora20133	Cytoskeleton
Amillepora20138	Function Unknown
Amillepora20136	RNA processing and modification
Amillepora20131	Posttranslational modification, protein turnover, chaperones
Amillepora20137	Function Unknown
Amillepora20141	Cytoskeleton
Amillepora20139	Signal transduction mechanisms
Amillepora20140	Transcription
Amillepora20143	Function Unknown
Amillepora20152	Carbohydrate transport and metabolism
Amillepora20150	Posttranslational modification, protein turnover, chaperones
Amillepora20148	Signal transduction mechanisms
Amillepora20147	Inorganic ion transport and metabolism
Amillepora20146	Function Unknown
Amillepora20145	Function Unknown
Amillepora20144	Function Unknown
Amillepora20153	Carbohydrate transport and metabolism
Amillepora20157	Carbohydrate transport and metabolism
Amillepora20158	Function Unknown
Amillepora20154	Function Unknown
Amillepora20161	Translation, ribosomal structure and biogenesis
Amillepora20156	Secondary metabolites biosynthesis, transport and catabolism
Amillepora20162	Lipid transport and metabolism
Amillepora20165	Transcription
Amillepora20170	Inorganic ion transport and metabolism
Amillepora20166	Posttranslational modification, protein turnover, chaperones
Amillepora20171	Replication, recombination and repair
Amillepora20168	Intracellular trafficking, secretion, and vesicular transport
Amillepora20168	Nuclear structure
Amillepora20176	Energy production and conversion
Amillepora20175	Intracellular trafficking, secretion, and vesicular transport
Amillepora20181	Energy production and conversion
Amillepora20194	Function Unknown
Amillepora20187	Transcription
Amillepora20193	Lipid transport and metabolism
Amillepora20186	Transcription
Amillepora20196	Cytoskeleton
Amillepora20195	Energy production and conversion
Amillepora20206	Function Unknown
Amillepora20200	Function Unknown
Amillepora20198	Coenzyme transport and metabolism
Amillepora20197	Function Unknown
Amillepora20213	Energy production and conversion
Amillepora20208	Replication, recombination and repair
Amillepora20211	Intracellular trafficking, secretion, and vesicular transport
Amillepora20216	Function Unknown
Amillepora20218	Amino acid transport and metabolism
Amillepora20215	Intracellular trafficking, secretion, and vesicular transport
Amillepora20224	Posttranslational modification, protein turnover, chaperones
Amillepora20222	Intracellular trafficking, secretion, and vesicular transport
Amillepora20214	Function Unknown
Amillepora20226	Transcription
Amillepora20221	Function Unknown
Amillepora20229	Lipid transport and metabolism
Amillepora20227	Transcription
Amillepora20230	Posttranslational modification, protein turnover, chaperones
Amillepora20228	Posttranslational modification, protein turnover, chaperones
Amillepora20236	Cell motility
Amillepora20231	Signal transduction mechanisms
Amillepora20235	Function Unknown
Amillepora20238	Function Unknown
Amillepora20232	Function Unknown
Amillepora20240	Signal transduction mechanisms
Amillepora20246	Signal transduction mechanisms
Amillepora20243	Signal transduction mechanisms
Amillepora20245	Signal transduction mechanisms
Amillepora20241	Signal transduction mechanisms
Amillepora20256	Posttranslational modification, protein turnover, chaperones
Amillepora20248	Signal transduction mechanisms
Amillepora20255	Function Unknown
Amillepora20254	Cell motility
Amillepora20250	Function Unknown
Amillepora20253	Function Unknown
Amillepora20260	Transcription
Amillepora20258	Posttranslational modification, protein turnover, chaperones
Amillepora20259	Transcription
Amillepora20268	Cytoskeleton
Amillepora20267	RNA processing and modification
Amillepora20266	Translation, ribosomal structure and biogenesis
Amillepora20269	Signal transduction mechanisms
Amillepora20264	Intracellular trafficking, secretion, and vesicular transport
Amillepora20263	Posttranslational modification, protein turnover, chaperones
Amillepora20276	RNA processing and modification
Amillepora20274	Function Unknown
Amillepora20272	Replication, recombination and repair
Amillepora20282	Intracellular trafficking, secretion, and vesicular transport
Amillepora20290	Translation, ribosomal structure and biogenesis
Amillepora20288	Cell wall/membrane/envelope biogenesis
Amillepora20287	Function Unknown
Amillepora20284	Posttranslational modification, protein turnover, chaperones
Amillepora20286	Function Unknown
Amillepora20277	Cytoskeleton
Amillepora20289	Transcription
Amillepora20293	Function Unknown
Amillepora20297	Inorganic ion transport and metabolism
Amillepora20296	RNA processing and modification
Amillepora20291	Function Unknown
Amillepora20294	Function Unknown
Amillepora20302	Function Unknown
Amillepora20298	Inorganic ion transport and metabolism
Amillepora20299	Cell cycle control, cell division, chromosome partitioning
Amillepora20299	Cytoskeleton
Amillepora20300	Function Unknown
Amillepora20306	Posttranslational modification, protein turnover, chaperones
Amillepora20303	Signal transduction mechanisms
Amillepora20309	Signal transduction mechanisms
Amillepora20308	Defense mechanisms
Amillepora20307	Cytoskeleton
Amillepora20315	Function Unknown
Amillepora20314	Function Unknown
Amillepora20316	Posttranslational modification, protein turnover, chaperones
Amillepora20323	Function Unknown
Amillepora20320	Signal transduction mechanisms
Amillepora20324	Translation, ribosomal structure and biogenesis
Amillepora20322	Nuclear structure
Amillepora20318	Function Unknown
Amillepora20321	Function Unknown
Amillepora20330	Posttranslational modification, protein turnover, chaperones
Amillepora20326	Signal transduction mechanisms
Amillepora20326	Intracellular trafficking, secretion, and vesicular transport
Amillepora20327	Posttranslational modification, protein turnover, chaperones
Amillepora20329	Intracellular trafficking, secretion, and vesicular transport
Amillepora20325	Function Unknown
Amillepora20336	Inorganic ion transport and metabolism
Amillepora20331	Posttranslational modification, protein turnover, chaperones
Amillepora20335	Coenzyme transport and metabolism
Amillepora20343	Translation, ribosomal structure and biogenesis
Amillepora20340	Nucleotide transport and metabolism
Amillepora20337	Defense mechanisms
Amillepora20338	Amino acid transport and metabolism
Amillepora10918	Extracellular structures
Amillepora10919	Signal transduction mechanisms
Amillepora10922	Extracellular structures
Amillepora10936	Extracellular structures
Amillepora10940	Energy production and conversion
Amillepora10921	Extracellular structures
Amillepora10939	Transcription
Amillepora10941	Signal transduction mechanisms
Amillepora10945	Extracellular structures
Amillepora10952	Transcription
Amillepora10951	Transcription
Amillepora10953	Transcription
Amillepora10949	Function Unknown
Amillepora10946	Extracellular structures
Amillepora10964	Function Unknown
Amillepora10963	Function Unknown
Amillepora10959	Cytoskeleton
Amillepora10957	Intracellular trafficking, secretion, and vesicular transport
Amillepora10958	Chromatin structure and dynamics
Amillepora10968	Function Unknown
Amillepora10967	Function Unknown
Amillepora10975	Function Unknown
Amillepora10974	Replication, recombination and repair
Amillepora10972	RNA processing and modification
Amillepora10971	Carbohydrate transport and metabolism
Amillepora10969	Chromatin structure and dynamics
Amillepora10973	Extracellular structures
Amillepora10982	Signal transduction mechanisms
Amillepora10982	Defense mechanisms
Amillepora10983	Amino acid transport and metabolism
Amillepora10981	Signal transduction mechanisms
Amillepora10981	Defense mechanisms
Amillepora10987	Lipid transport and metabolism
Amillepora10986	Cell cycle control, cell division, chromosome partitioning
Amillepora10980	Signal transduction mechanisms
Amillepora10980	Defense mechanisms
Amillepora10985	Inorganic ion transport and metabolism
Amillepora10984	Function Unknown
Amillepora10991	Function Unknown
Amillepora10994	Intracellular trafficking, secretion, and vesicular transport
Amillepora10993	Secondary metabolites biosynthesis, transport and catabolism
Amillepora10992	Transcription
Amillepora10990	Function Unknown
Amillepora10995	Function Unknown
Amillepora10997	Function Unknown
Amillepora10999	Function Unknown
Amillepora11002	Function Unknown
Amillepora11006	Function Unknown
Amillepora11009	Function Unknown
Amillepora11020	Function Unknown
Amillepora11013	Function Unknown
Amillepora11021	Function Unknown
Amillepora11023	Function Unknown
Amillepora11027	Function Unknown
Amillepora11033	Signal transduction mechanisms
Amillepora11032	Secondary metabolites biosynthesis, transport and catabolism
Amillepora11035	RNA processing and modification
Amillepora11030	Function Unknown
Amillepora11044	Carbohydrate transport and metabolism
Amillepora11036	Amino acid transport and metabolism
Amillepora11045	Energy production and conversion
Amillepora11042	Function Unknown
Amillepora11038	Function Unknown
Amillepora11040	Function Unknown
Amillepora11041	Carbohydrate transport and metabolism
Amillepora11037	Carbohydrate transport and metabolism
Amillepora11051	Function Unknown
Amillepora11047	Cytoskeleton
Amillepora11050	Function Unknown
Amillepora11049	Intracellular trafficking, secretion, and vesicular transport
Amillepora11046	Energy production and conversion
Amillepora11052	Function Unknown
Amillepora11055	Cell cycle control, cell division, chromosome partitioning
Amillepora11054	Cell cycle control, cell division, chromosome partitioning
Amillepora11053	Cell cycle control, cell division, chromosome partitioning
Amillepora11063	Function Unknown
Amillepora11064	Function Unknown
Amillepora11065	Cell cycle control, cell division, chromosome partitioning
Amillepora11062	Function Unknown
Amillepora11061	Cell cycle control, cell division, chromosome partitioning
Amillepora11056	Cell cycle control, cell division, chromosome partitioning
Amillepora11058	Cell cycle control, cell division, chromosome partitioning
Amillepora11067	Amino acid transport and metabolism
Amillepora11067	Coenzyme transport and metabolism
Amillepora11066	RNA processing and modification
Amillepora11069	Cell cycle control, cell division, chromosome partitioning
Amillepora11069	Replication, recombination and repair
Amillepora11074	Function Unknown
Amillepora11073	Cytoskeleton
Amillepora11072	Cytoskeleton
Amillepora11084	Cell cycle control, cell division, chromosome partitioning
Amillepora11078	Signal transduction mechanisms
Amillepora11086	Secondary metabolites biosynthesis, transport and catabolism
Amillepora11075	Signal transduction mechanisms
Amillepora11077	Signal transduction mechanisms
Amillepora11076	Signal transduction mechanisms
Amillepora11079	Signal transduction mechanisms
Amillepora11087	Posttranslational modification, protein turnover, chaperones
Amillepora11080	Function Unknown
Amillepora11089	Extracellular structures
Amillepora11097	Posttranslational modification, protein turnover, chaperones
Amillepora11093	Function Unknown
Amillepora11104	Function Unknown
Amillepora11102	Signal transduction mechanisms
Amillepora11099	Chromatin structure and dynamics
Amillepora11107	Translation, ribosomal structure and biogenesis
Amillepora11105	Signal transduction mechanisms
Amillepora11106	Function Unknown
Amillepora11119	Intracellular trafficking, secretion, and vesicular transport
Amillepora11121	Intracellular trafficking, secretion, and vesicular transport
