Run	Bioproject	LibraryLayout	rawCounts	trimmedCounts	predupMapped	dedupMapped	geneCounted
SRR1812205	PRJNA274410	SINGLE	13088805	12940143	7334668	3933847	2465170
SRR1812206	PRJNA274410	SINGLE	11496397	11319912	7467322	3661332	2193833
SRR1812207	PRJNA274410	SINGLE	13357979	13285765	8907645	4086305	2375681
SRR1812208	PRJNA274410	SINGLE	12451252	12394331	8637606	4383889	2714363
SRR1812209	PRJNA274410	SINGLE	14055020	13890216	8862292	3983620	2311693
SRR1812210	PRJNA274410	SINGLE	14855986	14826056	9846646	4737571	2964212
SRR1812211	PRJNA274410	SINGLE	17749200	17699641	12882595	5509682	3304258
SRR1812212	PRJNA274410	SINGLE	14490992	14461504	10005244	4765459	2797847
SRR1812213	PRJNA274410	SINGLE	13777174	13756785	9187794	4627926	2907160
SRR1812214	PRJNA274410	SINGLE	13554492	13526496	9236476	3122064	1864977
SRR1812215	PRJNA274410	SINGLE	12916523	12866340	8979867	3578492	2083814
SRR1812216	PRJNA274410	SINGLE	16142154	15965733	10120479	3469094	1947689
SRR1812217	PRJNA274410	SINGLE	13252839	13223484	10069351	3280463	1869338
SRR1812218	PRJNA274410	SINGLE	14834341	14793564	9864453	3711617	2186042
SRR1812219	PRJNA274410	SINGLE	10429404	10408706	6309946	3059814	1849722
SRR1812220	PRJNA274410	SINGLE	12899429	12870689	9443977	3588757	2106832
SRR1812221	PRJNA274410	SINGLE	13929254	13901273	10282058	3599894	2108196
SRR1812222	PRJNA274410	SINGLE	14674810	14650805	11283347	3372626	2026660
SRR1812223	PRJNA274410	SINGLE	16124525	16101309	12470931	4428240	2642703
SRR1812224	PRJNA274410	SINGLE	13713068	13660256	9531273	4118816	2432264
SRR1812225	PRJNA274410	SINGLE	13395971	13357957	7661778	3760524	2228441
SRR1812226	PRJNA274410	SINGLE	12902605	12832539	8818131	4129566	2340569
SRR1812227	PRJNA274410	SINGLE	12966848	12846892	7354309	4059689	2122179
SRR1812228	PRJNA274410	SINGLE	18384678	18365693	14342561	5616877	3354335
SRR1812229	PRJNA274410	SINGLE	13287750	13194899	7449635	3617837	2252735
SRR1812230	PRJNA274410	SINGLE	15489605	15472128	10118962	4661270	2834119
SRR1812231	PRJNA274410	SINGLE	13707939	13692439	8537884	3726070	2181826
SRR1812232	PRJNA274410	SINGLE	16969360	16616000	9395732	4350338	2571473
SRR1812233	PRJNA274410	SINGLE	15324647	15190208	10935536	3918891	2268455
SRR1812234	PRJNA274410	SINGLE	14238843	14207122	8966534	3442829	2018065
SRR1812235	PRJNA274410	SINGLE	13567174	13527374	9542332	4194810	2255278
SRR1812236	PRJNA274410	SINGLE	16444074	16373370	8670302	3687416	2128329
SRR1812237	PRJNA274410	SINGLE	16365761	16343573	10414208	4019575	2179224
SRR1812238	PRJNA274410	SINGLE	13478359	13385167	9311620	3868363	2307113
SRR1812239	PRJNA274410	SINGLE	14025814	14001758	9841479	3529674	2006420
SRR1812240	PRJNA274410	SINGLE	13265666	13213361	8403394	3355365	1785649
SRR1812241	PRJNA274410	SINGLE	12821776	12792299	6308028	2724096	1511106
SRR1812242	PRJNA274410	SINGLE	16123368	16024667	10857152	4539941	2746461
SRR1812243	PRJNA274410	SINGLE	11496678	11454600	6916910	3228260	1881208
SRR1812244	PRJNA274410	SINGLE	12887323	12870258	9786812	4478918	2604186
SRR1812245	PRJNA274410	SINGLE	15439274	15416339	12653941	5197729	3099306
SRR1812246	PRJNA274410	SINGLE	13103995	13073428	9973155	4675998	2762450
SRR1812247	PRJNA274410	SINGLE	15465141	15443155	10128176	4664461	2765471
SRR1812248	PRJNA274410	SINGLE	10452228	7798068	4558278	2366110	1217877
SRR1812249	PRJNA274410	SINGLE	11794924	11774502	7698859	3791405	2259942
SRR1812250	PRJNA274410	SINGLE	14239849	13945954	9417155	4291355	2424075
SRR1812251	PRJNA274410	SINGLE	17486858	15823049	9392789	3594521	1901613
SRR1812252	PRJNA274410	SINGLE	20286338	20160543	14188484	5335617	3264075
SRR1812253	PRJNA274410	SINGLE	11023468	10974628	7491117	3467261	2105226
SRR1812254	PRJNA274410	SINGLE	16286308	16259175	11521780	4426106	2602604
SRR1812255	PRJNA274410	SINGLE	12590060	12533074	10091060	3735911	2226541
SRR1812256	PRJNA274410	SINGLE	10797138	10788156	7678995	3684725	2216235
SRR1812257	PRJNA274410	SINGLE	12369993	12356533	8312396	3893419	2344802
SRR1812258	PRJNA274410	SINGLE	13605831	13445610	6895557	3250070	1987109
SRR1812259	PRJNA274410	SINGLE	12964724	12756483	7569203	3319744	1837939
SRR1812260	PRJNA274410	SINGLE	22095469	21960052	13649452	5432324	3196120
SRR1812261	PRJNA274410	SINGLE	14343877	13801525	7116033	3050511	1688375
SRR1812262	PRJNA274410	SINGLE	16829487	16803529	12599109	5340455	3165830
SRR1812263	PRJNA274410	SINGLE	11303325	11261076	7517899	3641874	2245031
SRR1812264	PRJNA274410	SINGLE	15746314	15696704	10704810	4819518	2835363
SRR1812265	PRJNA274410	SINGLE	16950351	16894118	11283310	4871167	2861381
