gene,contribution
Amillepora17763,3.3125719024705565e-5
Amillepora17762,1.4824171980136412e-6
Amillepora17759,7.055472975260702e-5
Amillepora17764,6.562229228437443e-5
Amillepora17771,8.166311125280798e-8
Amillepora17773,1.3403620016454198e-4
Amillepora17767,1.8236413836666785e-5
Amillepora17772,6.886169641146207e-6
Amillepora17770,2.419542996917147e-8
Amillepora17778,4.6118174618859716e-7
Amillepora17783,2.3881536416482838e-5
Amillepora17782,8.008415825905274e-6
Amillepora17786,8.019973446188153e-6
Amillepora17781,1.7702954537802365e-4
Amillepora17795,1.0364323237261551e-5
Amillepora17796,5.5521081996607325e-5
Amillepora17784,2.0885401710971674e-4
Amillepora17794,4.5824310255020124e-6
Amillepora17799,1.7832383270542808e-4
Amillepora17798,1.8329264818307033e-6
Amillepora17808,3.578119378746613e-5
Amillepora17811,2.0795549074512897e-5
Amillepora17807,2.919822143051127e-6
Amillepora17814,9.506230938839993e-6
Amillepora17816,2.7275271727826106e-4
Amillepora17815,2.7420251362422804e-7
Amillepora17812,9.434516708968538e-6
Amillepora17824,2.454226023490597e-5
Amillepora17817,7.68001103954048e-6
Amillepora17825,1.0582265926535568e-5
Amillepora17827,4.0027353397254204e-5
Amillepora17828,1.1015209786241585e-5
Amillepora17833,4.643425822101604e-6
Amillepora17835,6.44387129682127e-5
Amillepora17832,8.09305200655313e-6
Amillepora17840,4.310854214030219e-5
Amillepora17845,4.0310783277905e-5
Amillepora17843,7.552272425816272e-6
Amillepora17856,2.2328829102050694e-4
Amillepora17857,6.363092284728783e-5
Amillepora17849,3.9350338177767576e-5
Amillepora17848,2.2936451759050455e-5
Amillepora17860,4.327994171277941e-6
Amillepora17864,1.7073883792557528e-4
Amillepora17870,1.8278240540088753e-6
Amillepora17867,7.02714035936269e-6
Amillepora17868,7.250054888087308e-6
Amillepora17874,5.069059076136268e-5
Amillepora17882,2.1840740721985636e-4
Amillepora17878,7.746023111928917e-6
Amillepora17877,3.453642303697385e-8
Amillepora17879,2.976921121448496e-5
Amillepora17881,7.799890353465375e-8
Amillepora17880,9.02329575810608e-8
Amillepora17883,8.816195612847937e-5
Amillepora17887,6.036074952829863e-7
Amillepora17889,3.8852127657783744e-5
Amillepora17890,4.746785812537179e-6
Amillepora17888,2.1739978805887697e-5
Amillepora17891,3.622438257976753e-6
Amillepora17884,9.597016242703346e-5
Amillepora17886,7.728517168975947e-5
Amillepora17893,1.841441069290016e-5
Amillepora17895,4.835960605190548e-5
Amillepora17894,2.9836928098320575e-5
Amillepora17892,1.45387748716198e-7
Amillepora17896,1.789991088969973e-5
Amillepora17919,2.4099827997909258e-5
Amillepora17918,2.600612141526127e-6
Amillepora17914,4.3093166909639907e-5
Amillepora17899,1.5339246274267516e-7
