sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
s192_S215.sam	19193	4	60	8637	80	26965	5	284	12148	3197	0.36700	0.000	0.018	0.777	0.204
s19_S57.sam	24474	5	77	24674	114	38005	7	255	38371	5754	0.53873	0.000	0.006	0.864	0.130
s1_S39.sam	29593	3	54	10674	100	43184	3	172	19028	8690	0.39243	0.000	0.006	0.682	0.312
s20_S58.sam	20917	6	106	42141	113	31867	10	389	69751	5656	0.70404	0.000	0.005	0.920	0.075
s21_S59.sam	23667	5	78	22902	101	38990	6	202	36165	5601	0.51843	0.000	0.005	0.862	0.133
s22_S60.sam	29192	2	48	11696	97	45725	2	115	17945	5309	0.33824	0.000	0.005	0.768	0.227
s23_S61.sam	31964	1	40	12350	106	51545	1	99	20023	5639	0.33324	0.000	0.004	0.777	0.219
s24_S62.sam	33245	6	75	24882	112	55405	6	238	38219	5292	0.44126	0.000	0.005	0.873	0.121
s25_S63.sam	31464	3	67	17912	95	47055	3	261	29942	9722	0.45903	0.000	0.007	0.750	0.243
s26_S64.sam	28712	3	31	4678	87	41726	5	58	11640	7241	0.31225	0.000	0.003	0.614	0.382
s27_S65.sam	26968	2	27	6052	88	39988	2	66	13974	6768	0.34228	0.000	0.003	0.672	0.325
s28_S66.sam	23847	2	60	17611	102	35321	4	195	28326	6359	0.49689	0.000	0.006	0.812	0.182
s29_S67.sam	26854	5	74	21835	112	39579	7	246	34360	6828	0.51149	0.000	0.006	0.829	0.165
s2_S40.sam	25362	5	53	12125	90	36155	6	182	19019	6102	0.41177	0.000	0.007	0.751	0.241
s30_S68.sam	36696	3	39	10557	111	59440	3	100	19752	8629	0.32396	0.000	0.004	0.693	0.303
s31_S69.sam	28852	22	52	16635	112	45222	48	133	28577	9511	0.45836	0.001	0.003	0.747	0.249
s32_S70.sam	33746	79	60	15077	119	55111	272	154	30272	12608	0.44003	0.006	0.004	0.699	0.291
s33_S71.sam	27764	1	11	633	90	42857	1	14	4449	4553	0.17383	0.000	0.002	0.493	0.505
s34_S72.sam	28805	2	14	1543	95	44905	2	25	5894	4956	0.19499	0.000	0.002	0.542	0.456
s35_S73.sam	23602	0	13	990	75	36570	0	20	4107	4734	0.19504	0.000	0.002	0.463	0.534
s37_S74.sam	28170	6	36	6851	105	43012	6	89	11824	4993	0.28222	0.000	0.005	0.699	0.295
s38_S75.sam	27441	2	64	17779	97	41929	2	187	25613	3641	0.41253	0.000	0.006	0.870	0.124
s39_S76.sam	12799	148	39	11386	92	16892	905	109	19281	7821	0.62469	0.032	0.004	0.686	0.278
s3_S41.sam	24319	0	55	11134	85	34722	0	135	18538	6191	0.41728	0.000	0.005	0.746	0.249
s40_S77.sam	29179	65	41	16337	110	48456	192	111	26190	7921	0.41528	0.006	0.003	0.761	0.230
s41_S78.sam	31921	35	52	20188	107	54540	55	125	30942	6517	0.40833	0.001	0.003	0.822	0.173
s42_S79.sam	26379	4	57	14990	91	37837	5	175	22410	5119	0.42274	0.000	0.006	0.809	0.185
s43_S80.sam	28540	3	26	5191	95	42114	3	56	11587	7329	0.31061	0.000	0.003	0.611	0.386
s44_S81.sam	17066	0	19	4812	57	29231	0	27	9914	2599	0.30021	0.000	0.002	0.791	0.207
s45_S82.sam	25067	2	12	1840	62	40996	2	13	6402	3453	0.19404	0.000	0.001	0.649	0.350
s46_S83.sam	34343	6	61	21785	107	52033	8	278	35514	10932	0.47316	0.000	0.006	0.760	0.234
s47_S84.sam	28841	3	69	20457	105	42161	4	411	29644	5062	0.45445	0.000	0.012	0.844	0.144
s48_S85.sam	27272	5	71	15391	89	41506	6	281	21871	4697	0.39284	0.000	0.010	0.814	0.175
s49_S86.sam	31773	4	36	5658	82	50806	4	95	11182	6267	0.25672	0.000	0.005	0.637	0.357
s4_S42.sam	28506	4	29	6755	89	42911	4	78	14421	6756	0.33129	0.000	0.004	0.678	0.318
s50_S87.sam	31471	0	28	4359	91	50115	0	54	10709	6707	0.25849	0.000	0.003	0.613	0.384
s51_S88.sam	30105	0	12	1625	89	50082	0	22	8122	6683	0.22843	0.000	0.001	0.548	0.451
