sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
SRR2912598	507308	505608	15	17	1161	507
SRR2912599	191082	190525	1	0	323	233
SRR2912600	411164	409091	10	10	1546	507
SRR2912601	386879	385956	2	1	529	391
SRR2912602	196780	196282	1	1	294	202
SRR2912603	299567	299043	0	0	227	297
SRR2912604	231056	230157	2	1	632	264
SRR2912605	330919	330204	1	1	371	342
SRR2912606	380797	380032	0	1	386	378
SRR2912607	354141	353287	0	1	534	319
SRR3095777	24213431	17402716	311	8137	6796859	5408
SRR3095778	23061249	17034007	316	7240	6015291	4395
SRR3095779	23878157	17538351	350	8034	6327073	4349
SRR3095780	23402909	16238378	313	8749	7150156	5313
SRR3106384	22069812	22069499	26	53	95	139
SRR3106385	18240250	18240011	43	32	91	73
SRR3106386	19883753	19883540	17	41	95	60
SRR3106387	26350016	26349746	12	50	105	103
SRR3106388	21708875	21708607	13	70	102	83
SRR3106389	20000064	19999846	17	57	81	63
SRR3106390	23029884	23029574	36	51	90	133
SRR3106391	23770403	23769927	72	46	147	211
SRR3106392	22278740	22278384	52	50	105	149
SRR3106393	21757954	21757227	44	375	158	150
SRR3106394	20369863	20369490	57	54	135	127
SRR3106395	14370952	14370650	65	22	108	107
SRR3106396	23395078	23394580	128	44	152	174
SRR3106397	17805628	17804515	278	48	320	467
SRR3106398	17243715	17242576	65	712	148	214
SRR3106399	22509770	22509211	76	212	129	142
SRR3169421	861562	709643	27	2863	48314	100715
SRR3169422	1127200	1071188	23	1069	44810	10110
SRR3169423	1052732	935004	16	908	82348	34456
SRR3169425	2280730	2039461	65	3373	160394	77437
SRR3169426	2247335	2020100	57	1527	202592	23059
SRR3169518	1749315	1587577	21	1229	111715	48773
SRR3169527	1333084	1174078	27	2583	98357	58039
SRR3169528	1908832	1737576	34	1989	110102	59131
SRR3169529	738471	684812	15	1675	38759	13210
SRR3169530	1452714	1292772	10	1417	113531	44984
SRR3169531	1296485	1132261	33	2388	78503	83300
SRR3169532	1665150	1446961	37	1191	197970	18991
SRR3169533	1367336	1230529	23	1501	107186	28097
SRR3169534	1329186	1175901	19	1578	72713	78975
SRR3169535	1162120	1035289	21	2231	68750	55829
SRR3169536	62910	57194	1	223	3957	1535
SRR3169537	1584378	1398579	16	1528	149406	34849
SRR3169538	847796	746257	9	1590	54647	45293
SRR3169539	1283225	1117342	41	1363	141621	22858
SRR3169540	1242985	1157080	7	854	55022	30022
SRR3169541	748526	634214	6	1989	47820	64497
SRR3182410	1361874	1218429	10	2740	64997	75698
SRR3182448	950978	819546	18	1694	77657	52063
SRR3182557	1385080	1199796	21	2426	104413	78424
SRR3182684	1790099	1626392	12	1452	106304	55939
SRR3182685	176217	154512	1	344	15335	6025
SRR3182686	1679737	1489563	26	2311	111397	76440
SRR3182775	2605249	2258311	26	1675	271938	73299
SRR3182776	1442913	1314541	192	1246	101644	25290
SRR3182777	2139910	1964821	16	15749	106028	53296
SRR3182778	1304710	1145077	38	2689	88651	68255
SRR3182779	904110	795876	7	1331	60416	46480
SRR3182780	727259	631539	6	804	40856	54054
