my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress,LibraryLayout
H_matz_heatTolLat_PRJNA279192,SRR1929615,larval,Acropora millepora,temperature_resilience,none,BA2,larvae_not_treated,297879,1065084,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929614,larval,Acropora millepora,temperature_resilience,none,BA1,larvae_not_treated,288597,1022798,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929613,larval,Acropora millepora,temperature_resilience,none,AD3,larvae_not_treated,243934,932743,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929612,larval,Acropora millepora,temperature_resilience,none,AD2,larvae_not_treated,466732,1764752,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929611,larval,Acropora millepora,temperature_resilience,none,AD1,larvae_not_treated,343547,1200231,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929610,larval,Acropora millepora,temperature_resilience,none,AC3,larvae_not_treated,208832,629985,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929608,larval,Acropora millepora,temperature_resilience,none,AC1,larvae_not_treated,302750,950353,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929609,larval,Acropora millepora,temperature_resilience,none,AC2,larvae_not_treated,305904,1041713,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929607,larval,Acropora millepora,temperature_resilience,none,AB3,larvae_not_treated,283341,1008642,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929606,larval,Acropora millepora,temperature_resilience,none,AB2,larvae_not_treated,556832,2406637,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929605,larval,Acropora millepora,temperature_resilience,none,AB1,larvae_not_treated,617320,2438844,NA,not_a_stress_experiment,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929604,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,487614,2436256,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929603,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,501019,2994295,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929601,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,265368,1344078,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929602,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,577989,3214906,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929600,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,279449,1291306,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929599,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,238609,1152664,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929598,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,702216,3986837,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929597,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,540032,3250603,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929596,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,442328,2345666,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929595,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,155113,709210,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929594,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,182147,846136,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929593,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,188147,1002815,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929592,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,498012,2629535,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929591,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,384677,1889177,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929590,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,365590,1943516,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929589,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,198728,769398,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929588,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,228299,1004381,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929587,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,221389,928225,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929586,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,305780,1322024,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929585,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,298910,1289228,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929584,adult,Acropora millepora,temp,heat,3 days at 31.5C,larvae_not_treated,530576,2563260,no,stressed,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929583,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,268440,1159557,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929582,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,398244,1864423,no,control,SINGLE
H_matz_heatTolLat_PRJNA279192,SRR1929581,adult,Acropora millepora,temp,control,3 days at 28C,larvae_not_treated,415855,2038561,no,control,SINGLE
I_bertucci_dayNight_PRJNA288809,SRR2086162,adult,Acropora millepora,circadian,night,night3,none,13593158,74282623,NA,not_a_stress_experiment,SINGLE
