sample_name,sample_title,organism,isolate,breed,isolation_source,collection_date,geo_loc_name,tissue,age,description,method,fileName
CtH.N2.T.tp1.1,s142_S176,Acropora millepora,CtH_N2_T_tp1_1,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N2;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N2;treatment=;replicate=1;timepoint=1,s142_S176.fastq.gz
CtH.N2.T.tp1.2,s143_S177,Acropora millepora,CtH_N2_T_tp1_2,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N2;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N2;treatment=;replicate=2;timepoint=1,s143_S177.fastq.gz
CtH.N2.T.tp1.3,s144_S178,Acropora millepora,CtH_N2_T_tp1_3,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N2;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N2;treatment=;replicate=3;timepoint=1,s144_S178.fastq.gz
CtH.N1.T.tp1.1,s145_S179,Acropora millepora,CtH_N1_T_tp1_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N1;treatment=;replicate=1;timepoint=1,s145_S179.fastq.gz
CtH.N1.T.tp1.2,s146_S180,Acropora millepora,CtH_N1_T_tp1_2,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N1;treatment=;replicate=2;timepoint=1,s146_S180.fastq.gz
CtH.N1.T.tp1.3,s147_S181,Acropora millepora,CtH_N1_T_tp1_3,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N1;treatment=;replicate=3;timepoint=1,s147_S181.fastq.gz
CtH.L1.T.tp1.1,s148_S182,Acropora millepora,CtH_L1_T_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=L1;treatment=;replicate=1;timepoint=1,s148_S182.fastq.gz
CtH.L1.T.tp1.2,s149_S183,Acropora millepora,CtH_L1_T_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=L1;treatment=;replicate=2;timepoint=1,s149_S183.fastq.gz
CtH.L1.T.tp1.3,s150_S184,Acropora millepora,CtH_L1_T_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=L1;treatment=;replicate=3;timepoint=1,s150_S184.fastq.gz
CtH.N1.T.tp2.1,s151_S185,Acropora millepora,CtH_N1_T_tp2_1,N1,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N1;treatment=;replicate=1;timepoint=2,Method=Tagseq;experiment=cold_to_hot;colony=N1;treatment=;replicate=1;timepoint=2,s151_S185.fastq.gz
