Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR1929615,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BA2,1065084,297879
SRR1929614,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,BA1,1022798,288597
SRR1929613,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AD3,932743,243934
SRR1929612,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AD2,1764752,466732
SRR1929611,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AD1,1200231,343547
SRR1929610,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AC3,629985,208832
SRR1929608,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AC1,950353,302750
SRR1929609,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AC2,1041713,305904
SRR1929607,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AB3,1008642,283341
SRR1929606,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AB2,2406637,556832
SRR1929605,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,larval,temperature_resilience,none,AB1,2438844,617320
SRR1929604,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,2436256,487614
SRR1929603,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,2994295,501019
SRR1929601,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1344078,265368
SRR1929602,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,3214906,577989
SRR1929600,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1291306,279449
SRR1929599,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1152664,238609
SRR1929598,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,3986837,702216
SRR1929597,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,3250603,540032
SRR1929596,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,2345666,442328
SRR1929595,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,709210,155113
SRR1929594,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,846136,182147
SRR1929593,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1002815,188147
SRR1929592,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,2629535,498012
SRR1929591,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,1889177,384677
SRR1929590,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,1943516,365590
SRR1929589,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,769398,198728
SRR1929588,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1004381,228299
SRR1929587,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,928225,221389
SRR1929586,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,1322024,305780
SRR1929585,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,1289228,298910
SRR1929584,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,heat,3 days at 31.5C,2563260,530576
SRR1929583,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1159557,268440
SRR1929582,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,1864423,398244
SRR1929581,PRJNA279192,(Dixon et al. 2015),2015,https://doi.org/10.1126/science.1261224,Acropora millepora,adult,temp,control,3 days at 28C,2038561,415855
SRR2086162,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,night,night3,74282623,13593158
SRR2086161,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,night,night2,78237032,15816248
SRR2086160,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,night,night1,75958303,13374279
SRR2086159,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,day,day3,66891825,12485484
SRR2086158,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,day,day2,62346667,14563887
SRR2086157,PRJNA288809,(Bertucci et al. 2015),2015,https://doi.org/10.1111/mec.13328,Acropora millepora,adult,circadian,day,day1,64182676,15400883
SRR835875,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,1750378,851377
SRR835876,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,2028175,967889
SRR835877,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,1612566,591027
SRR835878,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,2864198,964566
SRR835879,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,1853459,781107
SRR835880,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,2651674,1096324
SRR835881,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,1256340,501387
SRR835882,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,control,control,4636729,1571160
SRR835883,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,727926,162728
SRR835884,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,3782808,804190
SRR835885,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,1176317,299434
SRR835886,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,5175461,1180369
SRR835887,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,678659,227002
SRR835888,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,4363556,1367301
SRR835891,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,4244992,1695255
SRR835889,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,3203927,1210909
SRR835890,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,bacterial mimic,4277782,1748851
SRR835892,PRJNA200542,(Weiss et al. 2013),2013,https://doi.org/10.1186/1471-2164-14-400,Acropora millepora,adult,immune,challenge,viral mimic,1100700,493118
